No,Jumlah,Jumlah,Frekuensi,Probabilitas,Prob. Kumulatif,Interval Angka Acak,Interval Angka Acak
1,490,627,11,0.23,0.23,1,23
2,628,765,9,0.19,0.42,24,42
3,766,903,6,0.13,0.54,43,54
4,904,1041,7,0.15,0.69,55,69
5,1042,1179,7,0.15,0.83,70,83
6,1180,1317,6,0.13,0.96,84,96
7,1318,1455,2,0.04,1,97,100
