No,Jumlah,Jumlah,Frekuensi,Probabilitas,Prob. Kumulatif,Interval Angka Acak,
1,56,234,45,0.94,0.94,1,94
2,235,413,2,0.04,0.98,95,98
3,414,592,0,0,0.98,-,-
4,593,771,0,0,0.98,-,-
5,772,950,0,0,0.98,-,-
6,951,1129,0,0,0.98,-,-
7,1130,1308,1,0.02,1,99,100
