"SIMULASI MONTE CARLO UNTUK MEMPREDIKSI  
JUMLAH KUNJUNGAN PASIEN RAWAT INAP DI RUMAH SAKIT GUNUNG JATI KOTA CIREBON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,tahun,bulan,Angka Acak,,,,,,Simulasi,,,,,,Variabel Turunan 1: Selisih Jumlah,,,,,,Variabel Turunan 2: Tren Kunjungan,,,,,,Variabel Turunan 3: Persentase Perubahan Bulanan,,,,,
,,,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain
32,2023,Agustus,8,9,62,68,18,40,256,576,131,59,58,91,-297,-401,71,-81,7,15,Turun,Turun,Naik,Turun,Naik,Naik,-54%,-41%,118%,-58%,14%,20%
33,2023,September,88,72,77,26,40,97,572,1145,146,177,68,187,316,569,15,118,10,96,Naik,Naik,Naik,Naik,Naik,Naik,123%,99%,11%,200%,17%,105%
34,2023,Oktober,43,11,57,93,94,47,443,568,144,119,75,94,-129,-577,-2,-58,7,-93,Turun,Turun,Turun,Turun,Naik,Turun,-23%,-50%,-1%,-33%,10%,-50%
35,2023,November,18,25,98,92,48,58,323,663,233,96,51,92,-120,95,89,-23,-24,-2,Turun,Naik,Naik,Turun,Turun,Turun,-27%,17%,62%,-19%,-32%,-2%
36,2023,Desember,47,29,75,51,53,60,426,634,131,86,64,69,103,-29,-102,-10,13,-23,Naik,Turun,Turun,Turun,Naik,Turun,32%,-4%,-44%,-10%,25%,-25%
37,2024,Januari,84,42,30,16,8,48,541,647,50,127,55,69,115,13,-81,41,-9,0,Naik,Naik,Turun,Naik,Turun,Stabil,27%,2%,-62%,48%,-14%,0%
38,2024,Februari,45,6,12,71,34,99,435,527,82,215,51,264,-106,-120,32,88,-4,195,Turun,Turun,Naik,Naik,Turun,Naik,-20%,-19%,64%,69%,-7%,283%
39,2024,Maret,31,87,73,14,88,14,399,1197,124,116,83,49,-36,670,42,-99,32,-215,Turun,Naik,Naik,Turun,Naik,Turun,-8%,127%,51%,-46%,63%,-81%
40,2024,April,65,69,6,27,74,83,499,963,78,80,90,102,100,-234,-46,-36,7,53,Naik,Turun,Turun,Turun,Naik,Naik,25%,-20%,-37%,-31%,8%,108%
41,2024,Mei,25,19,24,52,88,30,383,558,61,202,89,48,-116,-405,-17,122,-1,-54,Turun,Turun,Turun,Naik,Turun,Turun,-23%,-42%,-22%,153%,-1%,-53%
42,2024,Juni,70,27,74,77,41,64,501,737,129,74,47,77,118,179,68,-128,-42,29,Naik,Naik,Naik,Turun,Turun,Naik,31%,32%,111%,-63%,-47%,60%
43,2024,Juli,57,33,37,38,61,82,442,631,116,132,68,103,-59,-106,-13,58,21,26,Turun,Turun,Turun,Naik,Naik,Naik,-12%,-14%,-10%,78%,45%,34%
44,2024,Agustus,36,44,2,68,89,49,384,889,50,56,99,74,-58,258,-66,-76,31,-29,Turun,Naik,Turun,Turun,Naik,Turun,-13%,41%,-57%,-58%,46%,-28%
45,2024,September,29,36,96,36,75,3,418,655,175,158,90,56,34,-234,125,102,-9,-18,Naik,Turun,Naik,Naik,Turun,Turun,9%,-26%,250%,182%,-9%,-24%
46,2024,Oktober,89,69,34,82,79,58,542,965,103,185,90,73,124,310,-72,27,0,17,Naik,Naik,Turun,Naik,Stabil,Naik,30%,47%,-41%,17%,0%,30%
47,2024,November,14,78,75,56,52,68,354,1050,120,65,68,91,-188,85,17,-120,-22,18,Turun,Naik,Naik,Turun,Turun,Naik,-35%,9%,17%,-65%,-24%,25%
48,2024,Desember,42,72,28,57,51,50,387,1062,59,229,61,71,33,12,-61,164,-7,-20,Naik,Naik,Turun,Naik,Turun,Turun,9%,1%,-51%,252%,-10%,-22%
