No,Jumlah,Jumlah,Frekuensi,Probabilitas,Prob. Kumulatif,Interval Angka Acak,Interval Angka Acak
1,50,84,16,0.33,0.33,1,33
2,85,119,10,0.21,0.54,34,54
3,120,154,14,0.29,0.83,55,83
4,155,189,6,0.13,0.96,84,96
5,190,224,0,0,0,,
6,225,259,1,0.02,0.02,97,2
7,260,294,1,0.02,0.04,3,4
