"SIMULASI MONTE CARLO UNTUK MEMPREDIKSI  
JUMLAH KUNJUNGAN PASIEN RAWAT INAP DI RUMAH SAKIT GUNUNG JATI KOTA CIREBON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,tahun,bulan,Angka Acak,,,,,,Simulasi,,,,,,Variabel Turunan 1: Selisih Jumlah,,,,,,Variabel Turunan 2: Tren Kunjungan,,,,,,Variabel Turunan 3: Persentase Perubahan Bulanan,,,,,
,,,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain
37,2024,Januari,2,73,43,88,10,63,293,1068,106,228,68,86,-197,35,9,65,19,-13,Turun,Naik,Naik,Naik,Naik,Turun,-40%,3%,9%,40%,39%,-13%
38,2024,Februari,29,94,18,15,38,73,385,1267,63,102,61,94,92,199,-43,-126,-7,8,Naik,Naik,Turun,Turun,Turun,Naik,31%,19%,-41%,-55%,-10%,9%
39,2024,Maret,45,97,48,43,87,40,444,1425,109,153,77,68,59,158,46,51,16,-26,Naik,Naik,Naik,Naik,Naik,Turun,15%,12%,73%,50%,26%,-28%
40,2024,April,1,58,43,9,46,78,266,960,115,189,50,103,-178,-465,6,36,-27,35,Turun,Turun,Naik,Naik,Turun,Naik,-40%,-33%,6%,24%,-35%,51%
41,2024,Mei,94,26,49,21,86,43,600,712,91,88,97,76,334,-248,-24,-101,47,-27,Naik,Turun,Turun,Turun,Naik,Turun,126%,-26%,-21%,-53%,94%,-26%
42,2024,Juni,53,49,34,52,29,46,467,848,88,177,65,70,-133,136,-3,89,-32,-6,Turun,Naik,Turun,Naik,Turun,Turun,-22%,19%,-3%,101%,-33%,-8%
43,2024,Juli,93,27,91,62,66,85,624,663,176,125,93,118,157,-185,88,-52,28,48,Naik,Turun,Naik,Turun,Naik,Naik,34%,-22%,100%,-29%,43%,69%
44,2024,Agustus,3,36,48,77,59,69,265,732,111,154,53,98,-359,69,-65,29,-40,-20,Turun,Naik,Turun,Naik,Turun,Turun,-58%,10%,-37%,23%,-43%,-17%
45,2024,September,60,66,66,45,19,72,440,1041,127,195,53,84,175,309,16,41,0,-14,Naik,Naik,Naik,Naik,Stabil,Turun,66%,42%,14%,27%,0%,-14%
46,2024,Oktober,33,14,91,36,65,21,413,554,168,162,73,38,-27,-487,41,-33,20,-46,Turun,Turun,Naik,Turun,Naik,Turun,-6%,-47%,32%,-17%,38%,-55%
47,2024,November,60,90,6,78,78,24,464,1205,51,227,89,33,51,651,-117,65,16,-5,Naik,Naik,Turun,Naik,Naik,Turun,12%,118%,-70%,40%,22%,-13%
48,2024,Desember,82,60,56,3,46,76,575,996,124,105,67,124,111,-209,73,-122,-22,91,Naik,Turun,Naik,Turun,Turun,Naik,24%,-17%,143%,-54%,-25%,276%
